Family members,Colleagues,Government bodies,Scientists,Energy suppliers,Environmental organisations,Media
Not very much,A little,A little,A lot,Not at all,A lot,A little
Not at all,Not at all,Not at all,A little,Not at all,Not at all,Not at all
Not very much,A little,A little,A lot,Not very much,A little,A little
A little,A little,A lot,A lot,A lot,A lot,A little
A lot,A lot,A little,A lot,A little,A lot,A little
Not very much,Not very much,A little,A lot,Not at all,A lot,Not very much
A little,A little,Not at all,A little,A lot,Not very much,Not very much
Not very much,A little,Not very much,A lot,Not very much,A little,Not at all
A little,A little,A lot,A lot,A little,Not very much,Not very much
Not at all,Not very much,A little,A lot,A little,A lot,Not at all
Not very much,Not very much,A little,A lot,Not very much,A little,Not very much
A little,A little,A little,A lot,A little,A little,Not very much
Not at all,Not very much,A little,A lot,Not very much,A little,Not very much
Not very much,Not at all,A little,A lot,Not very much,A little,Not very much
Not at all,A little,Not at all,A little,Not at all,Not very much,Not at all
A little,A little,Not very much,A little,Not very much,Not very much,Not very much
Not very much,Not very much,A little,A lot,Not at all,A lot,A little
Not at all,A little,Not very much,A lot,A little,A lot,A little
A lot,A little,A lot,Not very much,Not very much,A little,Not at all
A little,A lot,Not very much,Not very much,A lot,Not very much,A little
A little,Not very much,A little,Not at all,A lot,Not at all,A little
A little,A little,Not very much,A lot,A little,A lot,Not at all
A little,A little,Not very much,A lot,Not very much,A lot,A little
A little,Not very much,Not very much,A lot,A little,A little,Not very much
Not very much,Not very much,A lot,A lot,A little,A lot,A lot
Not very much,A little,A little,A lot,Not at all,A little,Not at all
A little,A little,A little,A lot,A lot,A lot,A lot
A little,A little,A little,A lot,A lot,A lot,A little
Not at all,Not very much,A little,A lot,Not very much,A little,Not very much
A little,A little,A little,A lot,Not very much,A little,A little
A little,A little,A lot,A lot,A lot,A lot,A little
Not very much,Not very much,A little,A lot,A little,A lot,Not very much
Not at all,Not at all,Not very much,A lot,Not at all,A little,Not at all
Not very much,Not very much,A little,A lot,A little,A lot,Not very much
Not at all,A little,Not very much,A lot,Not very much,A little,Not very much
Not very much,Not very much,A little,A little,Not very much,A lot,A lot
A little,A little,A lot,A lot,A lot,A little,A little